deal_id,deal_name,customer_name,customer_id,deal_type,deal_owner,region,close_date,term_start_date,term_months,currency,contract_value,blended_discount_pct,billing_frequency,payment_terms,po_required,po_number,billing_contact_email,discount_approval,special_terms,stage,invoice_status
DD-1001,Bluewater Marine - Renewal - FY26,Bluewater Marine,CUST-04105,Renewal,t.nakamura,APAC,2026-08-19,2026-08-26,12,USD,52800.0,12.5,Quarterly,Net 30,FALSE,,ap@bluewatermarin.com,,,Closed Won,Not Invoiced
DD-1002,Juniper Networksmith - New Business - FY26,Juniper Networksmith,CUST-04107,New Business,c.delacruz,NA-Central,2026-06-10,2026-06-24,24,USD,75600.0,12.5,Annual upfront,Due on receipt,TRUE,,ap@junipernetwork.com,,,Closed Won,Not Invoiced
DD-1003,Lumen Pathways - Expansion - FY26,Lumen Pathways,CUST-04114,Expansion,c.delacruz,NA-West,2026-08-03,2026-08-03,12,USD,55760.0,22.7,Annual upfront,Net 30,FALSE,,ap@lumenpathways.com,,,Closed Won,Not Invoiced
DD-1004,Delta Wing Sports - Amendment - FY26,Delta Wing Sports,CUST-04125,Amendment,a.ramesh,NA-East,2026-05-26,2026-05-31,12,USD,38400.0,20.0,Annual upfront,Net 30,FALSE,,ap@deltawingsport.com,,Mid-term upgrade to existing subscription SUB-25599. Co-terminate with current period ending 2026-10-06. Prorate from term start. Do not create a new subscription.,Closed Won,Not Invoiced
DD-1005,Redstone Ventures - New Business - FY26,Redstone Ventures,CUST-04133,New Business,c.delacruz,EMEA,2026-07-19,2026-07-23,12,USD,94630.8,13.3,Annual upfront,Net 45,FALSE,,ap@redstoneventur.com,,,Closed Won,Not Invoiced
DD-1006,Palladium Retail Group - Renewal - FY26,Palladium Retail Group,CUST-04139,Renewal,s.petrov,NA-East,2026-05-11,2026-05-20,24,USD,106560.0,15.0,Annual upfront,Net 30,FALSE,,,,,Closed Won,Not Invoiced
DD-1007,Everest Outfitters - Amendment - FY26,Everest Outfitters,CUST-04142,Amendment,t.nakamura,APAC,2026-06-07,2026-06-21,36,USD,203400.0,0.0,Annual upfront,Net 60,FALSE,,ap@everestoutfitt.com,,"Ramp schedule: Year 1 billed at $126,108.00, Year 2 at $65,088.00, Year 3 at $12,204.00. Uplift capped at 5% at each anniversary. Customer may add up to 150 seats at Year 1 net pricing.",Closed Won,Not Invoiced
DD-1008,Stonebridge Capital - New Business - FY26,Stonebridge Capital,CUST-04149,New Business,j.whitfield,EMEA,2026-06-02,2026-06-02,24,USD,28650.0,17.5,Annual upfront,Net 60,TRUE,,ap@stonebridgecap.com,,,Closed Won,Not Invoiced
DD-1009,Kestrel Financial - Expansion - FY26,Kestrel Financial,CUST-04158,Expansion,j.whitfield,NA-West,2026-06-03,2026-06-07,12,USD,177000.0,6.7,Annual upfront,Net 30,TRUE,PO-265214,ap@kestrelfinanci.com,,,Closed Won,Not Invoiced
DD-1010,Cinder Interactive - Expansion - FY26,Cinder Interactive,CUST-04166,Expansion,t.nakamura,EMEA,2026-07-25,2026-07-25,24,USD,85980.0,21.7,Annual upfront,Net 45,TRUE,PO-283841,ap@cinderinteract.com,,,Closed Won,Not Invoiced
DD-1011,Junction Logistics - Expansion - FY26,Junction Logistics,CUST-04171,Expansion,m.okafor,NA-Central,2026-05-24,2026-03-24,12,USD,46800.0,25.0,Quarterly,Due on receipt,FALSE,,ap@junctionlogist.com,,,Closed Won,Not Invoiced
DD-1012,Nimbus Cloudworks - New Business - FY26,Nimbus Cloudworks,CUST-04178,New Business,s.petrov,NA-Central,2026-08-26,2026-08-29,12,USD,221214.0,11.7,Annual upfront,Due on receipt,FALSE,,ap@nimbuscloudwor.com,,,Closed Won,Not Invoiced
DD-1013,Meridian Payments - Expansion - FY26,Meridian Payments,CUST-04187,Expansion,b.olsen,EMEA,2026-05-29,2026-06-10,12,EUR,22695.0,15.0,Annual upfront,Due on receipt,TRUE,PO-537598,ap@meridianpaymen.com,,,Closed Won,Not Invoiced
DD-1014,Cobalt Diagnostics - Expansion - FY26,Cobalt Diagnostics,CUST-04192,Expansion,a.ramesh,APAC,2026-08-17,2026-08-18,24,USD,141120.0,15.0,Quarterly,Net 30,TRUE,,ap@cobaltdiagnost.com,Approved - CRO,,Closed Won,Not Invoiced
DD-1015,Mosaic Learning - New Business - FY26,Mosaic Learning,CUST-04199,New Business,m.okafor,APAC,2026-05-05,2026-05-13,12,USD,119040.0,15.0,Annual upfront,Net 30,TRUE,PO-428568,ap@mosaiclearning.com,,,Closed Won,Not Invoiced
